EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Air Tindi Ltd,2006,Provincial,Northwest Territories,,,Overall,Full-Time,53,32,21,4,,4,,,,4,3,1
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Semi-Professionals and Technicians,Full-Time,8,7,1,,,,,,,,,
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Skilled Crafts and Trades Workers,Full-Time,8,8,,,,,,,,2,2,
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Clerical Personnel,Full-Time,8,,8,2,,2,,,,,,
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Intermediate Sales and Service Personnel,Full-Time,15,5,10,2,,2,,,,2,1,1
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Semi-Skilled Manual Workers,Full-Time,12,12,,,,,,,,,,
Air Tindi Ltd,2006,Provincial,Northwest Territories,,,Overall,Part-Time,6,3,3,4,3,1,1,1,,,,
Air Tindi Ltd,2006,Provincial,Northwest Territories,0,,Intermediate Sales and Service Personnel,Part-Time,6,3,3,4,3,1,1,1,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,,,Overall,Full-Time,235,209,26,25,21,4,1,1,,11,10,1
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Middle and Other Managers,Full-Time,1,,1,,,,,,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Professionals,Full-Time,1,1,,,,,,,,1,1,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Supervisors,Full-Time,10,3,7,,,,,,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,18,18,,,,,,,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Clerical Personnel,Full-Time,8,4,4,,,,,,,1,1,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Intermediate Sales and Service Personnel,Full-Time,1,1,,,,,,,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,108,104,4,2,2,,1,1,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Other Manual Workers,Full-Time,88,78,10,23,19,4,,,,9,8,1
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,,,Overall,Part-Time,18,15,3,6,5,1,,,,1,,1
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Supervisors,Part-Time,1,,1,,,,,,,1,,1
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Supervisors: Crafts and Trades,Part-Time,1,1,,,,,,,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,2,2,,1,1,,,,,,,
RTL Robinson Enterprises Ltd. (INACTIVE),2006,National,Canada,0,,Other Manual Workers,Part-Time,14,12,2,5,4,1,,,,,,
Sunwest Aviation Ltd.,2006,National,Canada,,,Overall,Full-Time,101,88,13,,,,,,,5,5,
Sunwest Aviation Ltd.,2006,National,Canada,0,,Senior Managers,Full-Time,1,1,,,,,,,,,,
Sunwest Aviation Ltd.,2006,National,Canada,0,,Middle and Other Managers,Full-Time,3,1,2,,,,,,,,,
Sunwest Aviation Ltd.,2006,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,49,46,3,,,,,,,3,3,
Sunwest Aviation Ltd.,2006,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,1,,1,,,,,,,,,
Sunwest Aviation Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,20,19,1,,,,,,,1,1,
